"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"DESIGNER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OPERATING_TEMP";"PART_STATUS";"REV";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"D2";"PMEG3050EP,115";"PMEG3050EP,115";"PMEG3050EP115";"NXP PMEG3050EP,115 SMT Schottky Diode, 30V 5A, 2-Pin SOD-128";"";"NXP PMEG3050EP,115 SMT Schottky Diode, 30V 5A, 2-Pin SOD-128";"";"1mm";"";"Nexperia";"PMEG3050EP,115";"771-PMEG3050EP115";"https://www.mouser.co.uk/ProductDetail/Nexperia/PMEG3050EP115?qs=GcY6OjH1zdmnjQ%2FhUT5aOA%3D%3D";"";"";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGERMISHAFARMS";"FRAME-LEDGERMISHAFARMS";"MISHAFARMS";"Schematic Frame - Ledger";"";"";"Michael Weiss";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";
"J1";"DC-005";"CONN-POWER-JACK-2.1MM(DC-005)";"DCJ3P-14.2X11.0X9.0MM";"Seeed SKU 320120003 - DIP Black DC Jack 2.1MM";"";"";"";"";"";"";"";"";"";"DC-005";"";"";"";"";"";"";"";"";"DC-005";
"J2";"2x3p-2.54";"DIP-BLACK-MALE-HEADER(2X3P-2.54）-2.54";"H2X3-2.54";"320020077";"";"";"";"";"";"";"P125-12A1BS116A1";"";"";"";"";"";"";"";"";"";"";"";"2x3p-2.54";
"J3";"4p-2.54";"DIP-BLACK-MALE-HEADER-VERT(4P-2.54)";"H4-2.54";"320020017";"";"";"";"";"";"";"P125-1104A0BS116A1";"";"";"";"";"";"";"";"";"";"";"";"4p-2.54";
"JP1";"PINHD-2X8";"PINHD-2X8";"2X08";"PIN HEADER";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PIN-HEADER";"";"";"";
"JP2";"2p-2.54";"DIP-BLACK-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020016";"";"";"";"";"";"";"P125-1102A0BS116A1";"";"";"";"";"";"";"";"";"";"";"";"2p-2.54";
"JP3";"2p-2.54";"DIP-BLACK-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020016";"";"";"";"";"";"";"P125-1102A0BS116A1";"";"";"";"";"";"";"";"";"";"";"";"2p-2.54";
"JP4";"2p-2.54";"DIP-BLACK-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020016";"";"";"";"";"";"";"P125-1102A0BS116A1";"";"";"";"";"";"";"";"";"";"";"";"2p-2.54";
"JP5";"2p-2.54";"DIP-BLACK-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020016";"";"";"";"";"";"";"P125-1102A0BS116A1";"";"";"";"";"";"";"";"";"";"";"";"2p-2.54";
"JP6";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LA";"3p-2.54";"DIP-BLACK-MALE-HEADER-VERT(3P-2.54)";"H3-2.54";"320020079";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3p-2.54";
"LF";"3p-2.54";"DIP-BLACK-MALE-HEADER-VERT(3P-2.54)";"H3-2.54";"320020079";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3p-2.54";
"LL";"3p-2.54";"DIP-BLACK-MALE-HEADER-VERT(3P-2.54)";"H3-2.54";"320020079";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3p-2.54";
"Q1";"S8050-G";"SMD-TRANSISTORS-NPN-25V-500MW-S8050(SOT-23)";"SOT-23";"NPN transistor";"";"";"";"";"";"";"SS8050-G";"750-SS8050-G";"";"";"";"";"";"";"";"";"";"";"S8050-G";
"Q2";"S8050-G";"SMD-TRANSISTORS-NPN-25V-500MW-S8050(SOT-23)";"SOT-23";"NPN transistor";"";"";"";"";"";"";"SS8050-G";"750-SS8050-G";"";"";"";"";"";"";"";"";"";"";"S8050-G";
"Q3";"CJ2302";"2N7002NXAKR";"SOT95P230X110-3N";"NEXPERIA - 2N7002NXAKR - MOSFET Transistor, Trench, N Channel, 190 mA, 60 V, 3 ohm, 10 V, 1.6 V";"";"NEXPERIA - 2N7002NXAKR - MOSFET Transistor, Trench, N Channel, 190 mA, 60 V, 3 ohm, 10 V, 1.6 V";"";"1.1mm";"";"Nexperia";"2N7002NXAKR";"771-2N7002NXAKR";"https://www.mouser.co.uk/ProductDetail/Nexperia/2N7002NXAKR/?qs=%252B6g0mu59x7JoAsZYPFXqhw%3D%3D";"";"";"";"";"";"";"";"";"";"";
"R1";"10K";"SMD-RES-10K-1%-1/4W(0805)";"R0805";"Resistor 10K 1%";"";"Resistor 10K 1% SMD 0805";"";"";"";" KOA Speer ";"RK73H2ATTD1002F ";"660-RK73H2ATTD1002F";"https://www.mouser.com/ProductDetail/KOA-Speer/RK73H2ATTD1002F/?qs=tLTLU8dkiwvc%2FyU3ERoqnw%3D%3D";"";"";"";"";"";"";"";"";"";"10K";
"R2";"22K";"SMD-RES-22K-5%-1/4W(0805)";"R0805";"Resistor 22K 5%";"";"Resistor 22K 5% SMD 0805";"";"";"";"KOA Speer";"RK73B2ATTD223J";"660-RK73B2ATTD223J";"https://www.mouser.com/ProductDetail/KOA-Speer/RK73B2ATTD223J/?qs=rx%252BqewZzWUffEp6AgUqu%252Bg%3D%3D";"";"";"";"";"";"";"";"";"";"22K";
"R3";"10K";"SMD-RES-10K-1%-1/4W(0805)";"R0805";"Resistor 10K 1%";"";"Resistor 10K 1% SMD 0805";"";"";"";" KOA Speer ";"RK73H2ATTD1002F ";"660-RK73H2ATTD1002F";"https://www.mouser.com/ProductDetail/KOA-Speer/RK73H2ATTD1002F/?qs=tLTLU8dkiwvc%2FyU3ERoqnw%3D%3D";"";"";"";"";"";"";"";"";"";"10K";
"R4";"10K";"SMD-RES-10K-1%-1/4W(0805)";"R0805";"Resistor 10K 1%";"";"Resistor 10K 1% SMD 0805";"";"";"";" KOA Speer ";"RK73H2ATTD1002F ";"660-RK73H2ATTD1002F";"https://www.mouser.com/ProductDetail/KOA-Speer/RK73H2ATTD1002F/?qs=tLTLU8dkiwvc%2FyU3ERoqnw%3D%3D";"";"";"";"";"";"";"";"";"";"10K";
"R5";"10K";"SMD-RES-10K-1%-1/4W(0805)";"R0805";"Resistor 10K 1%";"";"Resistor 10K 1% SMD 0805";"";"";"";" KOA Speer ";"RK73H2ATTD1002F ";"660-RK73H2ATTD1002F";"https://www.mouser.com/ProductDetail/KOA-Speer/RK73H2ATTD1002F/?qs=tLTLU8dkiwvc%2FyU3ERoqnw%3D%3D";"";"";"";"";"";"";"";"";"";"10K";
"R6";"100K";"SMD-RES-100K-.5%-1/10W(0805)";"R0805";"Resistor 100K 0.5%";"";"Resistor 100K 0.5% SMD 0805";"";"";"";"Susumu";"RR1220P-104-D";"754-RR1220P-104D";"https://www.mouser.com/ProductDetail/Susumu/RR1220P-104-D/?qs=%2Fha2pyFadujCPgNeBjWI96%252BroUq1pkWN2MbsYos73Tx95ayAVluOxg%3D%3D";"";"";"";"";"";"";"";"";"";"100K";
"R7";"1K";"SMD-RES-1K-1%-1/8W(0805)";"R0805";"Resistor 1K 1%";"";"Resistor 1K 1% SMD 0805";"";"";"";"Vishay / Dale ";"CRCW08051K00FKEAC";"71-CRCW08051K00FKEAC";"https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW08051K00FKEAC/?qs=%2Fha2pyFadui6t5gBae62od441kk8GmyGFVmxEidNFq5xUBgAyCVXXx2D0V55RqKK";"";"";"";"";"";"";"";"";"";"1K";
"R8";"22K";"SMD-RES-22K-5%-1/4W(0805)";"R0805";"Resistor 22K 5%";"";"Resistor 22K 5% SMD 0805";"";"";"";"KOA Speer";"RK73B2ATTD223J";"660-RK73B2ATTD223J";"https://www.mouser.com/ProductDetail/KOA-Speer/RK73B2ATTD223J/?qs=rx%252BqewZzWUffEp6AgUqu%252Bg%3D%3D";"";"";"";"";"";"";"";"";"";"22K";
"R9";"47K";"SMD-RES-47K-1%-1/4W(0805)";"R0805";"Resistor 47K 1%";"";"Resistor 47K 1% SMD 0805";"";"";"";"KOA Speer";"RK73H2ATTD4702F";"660-RK73H2ATTD4702F";"https://www.mouser.com/ProductDetail/KOA-Speer/RK73H2ATTD4702F/?qs=%2Fha2pyFadujLLpodnepgt4r0Qw%2FLlQaBaDxSVsal6zzxootuMZ88MQ%3D%3D";"";"";"";"";"";"";"";"";"";"47K";
"R10";"100K";"SMD-RES-100K-.5%-1/10W(0805)";"R0805";"Resistor 100K 0.5%";"";"Resistor 100K 0.5% SMD 0805";"";"";"";"Susumu";"RR1220P-104-D";"754-RR1220P-104D";"https://www.mouser.com/ProductDetail/Susumu/RR1220P-104-D/?qs=%2Fha2pyFadujCPgNeBjWI96%252BroUq1pkWN2MbsYos73Tx95ayAVluOxg%3D%3D";"";"";"";"";"";"";"";"";"";"100K";
"RA";"3p-2.54";"DIP-BLACK-MALE-HEADER-VERT(3P-2.54)";"H3-2.54";"320020079";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3p-2.54";
"RF";"3p-2.54";"DIP-BLACK-MALE-HEADER-VERT(3P-2.54)";"H3-2.54";"320020079";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3p-2.54";
"RL";"3p-2.54";"DIP-BLACK-MALE-HEADER-VERT(3P-2.54)";"H3-2.54";"320020079";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3p-2.54";
"U$2";"ESP32_SHIELDSMALL";"ESP32_SHIELDSMALL";"ESP32_ARDUINOSHIELDSMALL";"Board pattern for Otto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"CP2102";"CP2102";"QFN28N5X5-0P5P";"USB to UART";"";"USB-UART";"";"";"";"Silicon Labs";"CP2102N-A02-GQFN28R";"634-CP2102NA02QFN28R";"https://www.mouser.com/ProductDetail/Silicon-Labs/CP2102N-A02-GQFN28R/?qs=u16ybLDytRag4qKvSH3fTw%3D%3D";"";"";"";"";"";"";"";"";"";"";
"U3";"CJA1117B-3.3-SOT89";"AP2114H-3.3TRG1";"SOT230P700X180-4N";"1A 3.3V Low Noise LDO Regulator SOT223 DiodesZetex AP2114H-3.3TRG1, LDO Voltage Regulator, 1 (Min)A, 3.3 V +/-1.5%, 2.5  6 Vin, 3-Pin SOT-223";"";"1A 3.3V Low Noise LDO Regulator SOT223 DiodesZetex AP2114H-3.3TRG1, LDO Voltage Regulator, 1 (Min)A, 3.3 V +/-1.5%, 2.5  6 Vin, 3-Pin SOT-223";"";"1.8mm";"";"Diodes Inc.";"AP2114H-3.3TRG1";"621-AP2114H-3.3TRG1";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AP2114H-33TRG1?qs=x6A8l6qLYDDSG%2FfwzcsOhw%3D%3D";"";"";"";"";"";"";"";"";"";"";
"U4";"TPD4S012DRYR";"TPD4S012DRYR";"TPD4S012DRYR";"ESD Suppressors / TVS Diodes 4Ch USB ESD Solution w/ Pwr Clamp";"";"ESD Suppressors / TVS Diodes 4Ch USB ESD Solution w/ Pwr Clamp";"";"0.6mm";"";"Texas Instruments";"TPD4S012DRYR";"595-TPD4S012DRYR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPD4S012DRYR?qs=XGzIaZb%2FFYJve%2FbrCpoVgg%3D%3D";"";"";"";"";"";"";"";"";"";"";
"USB1";"ZX62-B-5PA";"ZX62-B-5PA(33)";"HRS_ZX62-B-5PA(33)";"ZX Series 5 Position Right Angle PCB Wire Micro B USB Plug";"";"USB Micro B female connector";"";"";"";"Hirose Connector";"ZX62-B-5PA(33)";"798-ZX62-B-5PA33";"https://www.mouser.com/ProductDetail/Hirose-Connector/ZX62-B-5PA33/?qs=%2Fha2pyFaduhiSQl2TrshNN4h5tYLcCq4%252B%2FDj%2FzhIV4TUsZmrT6v6qg%3D%3D";"";"";"";"";"";"";"";"";"";"";
